id,client,plan,model,input_tokens,output_tokens,latency_ms,cost_usd,date,status
usage-00255,faisal@llmconsult.ae,pro,mistral-7b-instruct,1608,450,2979,0.030508,2024-01-11,rate_limited
usage-00256,eva@nlplab.dk,enterprise,mistral-7b-instruct,1417,308,3099,0.064731,2024-01-17,rate_limited
usage-00257,eva@nlplab.dk,enterprise,llama-2-13b-chat,1540,497,1565,0.025044,2024-02-08,success
usage-00258,grace@deeplearn.ng,pro,mistral-7b-instruct,1878,672,2406,0.013159,2024-02-15,success
usage-00259,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,962,697,3181,0.042749,2024-03-05,success
usage-00260,chloe@airesearch.org,pro,mistral-7b-instruct,171,625,172,0.067135,2024-03-20,success
usage-00261,faisal@llmconsult.ae,pro,llama-2-13b-chat,428,635,356,0.037292,2024-02-20,success
usage-00262,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,90,175,2278,0.069005,2024-02-24,success
usage-00263,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,613,288,2850,0.017717,2024-01-20,success
usage-00264,dmitri@mlops.dev,pro,llama-2-13b-chat,1197,377,3380,0.056654,2024-03-05,success
usage-00265,chloe@airesearch.org,pro,mistral-7b-instruct,103,117,3667,0.053564,2024-03-11,success
usage-00266,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1533,244,3964,0.057875,2024-01-07,success
usage-00267,dmitri@mlops.dev,pro,mistral-7b-instruct,1054,125,1254,0.032623,2024-02-12,success
usage-00268,bruno@datascience.co,pro,mistral-7b-instruct,198,387,1917,0.043578,2024-01-20,success
usage-00269,bruno@datascience.co,pro,llama-2-13b-chat,878,77,1078,0.017859,2024-01-03,success
usage-00270,bruno@datascience.co,pro,mistral-7b-instruct,170,536,3054,0.006022,2024-02-27,success
usage-00271,grace@deeplearn.ng,pro,mistral-7b-instruct,791,235,1286,0.025065,2024-03-08,success
usage-00272,chloe@airesearch.org,pro,llama-2-13b-chat,1760,58,128,0.070662,2024-03-07,success
usage-00273,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,798,613,1609,0.04215,2024-02-18,success
usage-00274,dmitri@mlops.dev,pro,llama-2-13b-chat,444,500,3043,0.003643,2024-02-27,success
usage-00275,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1988,290,2009,0.056327,2024-03-26,success
usage-00276,dmitri@mlops.dev,pro,mistral-7b-instruct,682,282,1724,0.066895,2024-03-19,success
usage-00277,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1253,280,1578,0.039173,2024-01-03,success
usage-00278,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1004,338,2039,0.06948,2024-02-28,success
usage-00279,bruno@datascience.co,pro,mistral-7b-instruct,971,726,614,0.05372,2024-03-25,success
usage-00280,bruno@datascience.co,pro,mistral-7b-instruct,1346,798,3905,0.046367,2024-01-22,success
usage-00281,dmitri@mlops.dev,pro,mistral-7b-instruct,189,27,1562,0.021219,2024-01-24,success
usage-00282,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,837,762,3505,0.076161,2024-02-12,success
usage-00283,faisal@llmconsult.ae,pro,llama-2-13b-chat,370,567,2117,0.008084,2024-02-06,success
usage-00284,alice@techcorp.io,enterprise,llama-2-13b-chat,715,41,3904,0.07311,2024-03-12,success
usage-00285,chloe@airesearch.org,pro,mistral-7b-instruct,614,468,632,0.014672,2024-01-05,success
usage-00286,eva@nlplab.dk,enterprise,llama-2-13b-chat,221,189,954,0.071707,2024-01-06,success
usage-00287,grace@deeplearn.ng,pro,mistral-7b-instruct,470,534,2686,0.037339,2024-02-27,success
usage-00288,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,972,124,2501,0.040169,2024-02-22,success
usage-00289,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1963,243,1059,0.022785,2024-01-22,success
usage-00290,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1410,324,1107,0.052902,2024-02-13,success
usage-00291,chloe@airesearch.org,pro,llama-2-13b-chat,1457,431,2713,0.063809,2024-02-06,success
usage-00292,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1442,256,2947,0.00266,2024-01-07,success
usage-00293,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1564,62,2747,0.018145,2024-01-09,success
usage-00294,bruno@datascience.co,pro,llama-2-13b-chat,1313,662,2714,0.049052,2024-02-21,success
usage-00295,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1728,544,3205,0.017178,2024-01-17,success
usage-00296,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1921,773,2693,0.069131,2024-03-21,success
usage-00297,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1585,390,1412,0.020172,2024-03-05,success
usage-00298,chloe@airesearch.org,pro,all-MiniLM-L6-v2,410,325,1490,0.069384,2024-01-03,success
usage-00299,chloe@airesearch.org,pro,llama-2-13b-chat,1005,63,1759,0.016751,2024-01-22,success
usage-00300,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1865,389,1802,0.012611,2024-03-08,success
usage-00301,grace@deeplearn.ng,pro,mistral-7b-instruct,488,510,1389,0.059765,2024-03-12,success
usage-00302,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,703,365,1889,0.029464,2024-02-03,success
usage-00303,bruno@datascience.co,pro,all-MiniLM-L6-v2,1721,552,3238,0.05783,2024-03-11,success
usage-00304,grace@deeplearn.ng,pro,llama-2-13b-chat,968,172,1917,0.015441,2024-02-16,success
usage-00305,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,962,294,2087,0.027201,2024-02-22,success
usage-00306,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,319,409,1049,0.016604,2024-02-13,success
usage-00307,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1234,308,1737,0.022403,2024-01-04,success
usage-00308,bruno@datascience.co,pro,all-MiniLM-L6-v2,609,114,914,0.061947,2024-02-26,error
usage-00309,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,53,789,300,0.076193,2024-01-13,success
usage-00310,chloe@airesearch.org,pro,all-MiniLM-L6-v2,182,385,3532,0.048316,2024-03-12,success
usage-00311,bruno@datascience.co,pro,mistral-7b-instruct,453,416,3869,0.029595,2024-01-02,success
usage-00312,faisal@llmconsult.ae,pro,llama-2-13b-chat,944,518,2369,0.046066,2024-02-24,success
usage-00313,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1434,684,3126,0.053171,2024-02-27,success
usage-00314,grace@deeplearn.ng,pro,mistral-7b-instruct,609,637,3678,0.024294,2024-02-08,success
usage-00315,chloe@airesearch.org,pro,llama-2-13b-chat,1408,192,444,0.077144,2024-03-01,success
usage-00316,eva@nlplab.dk,enterprise,llama-2-13b-chat,1069,275,2633,0.059058,2024-03-23,rate_limited
usage-00317,eva@nlplab.dk,enterprise,mistral-7b-instruct,699,151,2992,0.058975,2024-01-14,rate_limited
usage-00318,eva@nlplab.dk,enterprise,llama-2-13b-chat,72,188,895,0.019853,2024-03-06,success
usage-00319,grace@deeplearn.ng,pro,mistral-7b-instruct,312,310,617,0.02256,2024-03-18,success
usage-00320,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1573,603,2992,0.073142,2024-02-11,success
usage-00321,chloe@airesearch.org,pro,mistral-7b-instruct,1557,303,377,0.030637,2024-01-21,success
usage-00322,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1499,189,516,0.066667,2024-03-24,success
usage-00323,grace@deeplearn.ng,pro,mistral-7b-instruct,231,733,1583,0.06337,2024-02-07,success
usage-00324,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,909,536,3575,0.045112,2024-02-05,success
usage-00325,faisal@llmconsult.ae,pro,mistral-7b-instruct,1274,722,3404,0.060005,2024-03-21,success
usage-00326,alice@techcorp.io,enterprise,mistral-7b-instruct,1840,177,1061,0.020582,2024-01-21,success
usage-00327,chloe@airesearch.org,pro,llama-2-13b-chat,1656,751,1848,0.078092,2024-02-15,success
usage-00328,chloe@airesearch.org,pro,all-MiniLM-L6-v2,76,727,3783,0.057654,2024-02-04,success
usage-00329,eva@nlplab.dk,enterprise,mistral-7b-instruct,443,122,1441,0.066098,2024-02-01,success
usage-00330,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,685,181,2928,0.011413,2024-01-23,success
usage-00331,bruno@datascience.co,pro,llama-2-13b-chat,701,209,2282,0.027309,2024-01-27,success
usage-00332,faisal@llmconsult.ae,pro,mistral-7b-instruct,87,132,597,0.062918,2024-03-14,success
usage-00333,bruno@datascience.co,pro,llama-2-13b-chat,1654,378,1449,0.005135,2024-02-12,success
usage-00334,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,1959,661,1735,0.020821,2024-01-07,success
usage-00335,faisal@llmconsult.ae,pro,llama-2-13b-chat,81,262,639,0.075753,2024-02-08,rate_limited
usage-00336,grace@deeplearn.ng,pro,mistral-7b-instruct,1120,663,1370,0.005306,2024-01-18,success
usage-00337,dmitri@mlops.dev,pro,llama-2-13b-chat,1191,611,968,0.036119,2024-02-11,success
usage-00338,grace@deeplearn.ng,pro,llama-2-13b-chat,1768,22,1781,0.069623,2024-03-11,success
usage-00339,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1925,740,334,0.05573,2024-02-06,success
usage-00340,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,641,137,595,0.026682,2024-01-12,success
usage-00341,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,739,749,2296,0.01343,2024-01-09,success
usage-00342,alice@techcorp.io,enterprise,mistral-7b-instruct,1537,666,811,0.04421,2024-03-13,success
usage-00343,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1454,193,2497,0.078022,2024-03-06,success
usage-00344,faisal@llmconsult.ae,pro,llama-2-13b-chat,1690,602,856,0.065834,2024-01-09,success
usage-00345,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1731,331,3263,0.060374,2024-03-10,success
usage-00346,dmitri@mlops.dev,pro,mistral-7b-instruct,1248,618,3419,0.056627,2024-02-26,success
usage-00347,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,95,475,1986,0.044231,2024-01-14,success
usage-00348,bruno@datascience.co,pro,llama-2-13b-chat,839,697,2276,0.064832,2024-02-05,success
usage-00349,bruno@datascience.co,pro,mistral-7b-instruct,1686,315,1235,0.06592,2024-02-20,success
usage-00350,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,312,415,563,0.033209,2024-01-01,success
usage-00351,dmitri@mlops.dev,pro,mistral-7b-instruct,773,692,3248,0.029857,2024-03-24,success
usage-00352,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,934,740,1579,0.045264,2024-02-09,success
usage-00353,chloe@airesearch.org,pro,llama-2-13b-chat,1705,84,3205,0.023179,2024-02-19,success
usage-00354,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,469,370,2300,0.06941,2024-02-12,success
usage-00355,bruno@datascience.co,pro,llama-2-13b-chat,1898,680,1505,0.001788,2024-02-12,success
usage-00356,bruno@datascience.co,pro,all-MiniLM-L6-v2,1933,774,928,0.002536,2024-03-10,rate_limited
usage-00357,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,455,758,81,0.037329,2024-02-25,rate_limited
usage-00358,grace@deeplearn.ng,pro,llama-2-13b-chat,1137,435,1269,0.047768,2024-01-24,success
usage-00359,faisal@llmconsult.ae,pro,mistral-7b-instruct,873,644,3525,0.020472,2024-01-05,success
usage-00360,chloe@airesearch.org,pro,llama-2-13b-chat,1961,230,3203,0.035001,2024-02-12,success
usage-00361,bruno@datascience.co,pro,mistral-7b-instruct,646,236,1237,0.028428,2024-03-15,success
usage-00362,alice@techcorp.io,enterprise,llama-2-13b-chat,1734,181,1571,0.020195,2024-03-27,success
usage-00363,grace@deeplearn.ng,pro,mistral-7b-instruct,373,43,276,0.065099,2024-02-26,success
usage-00364,chloe@airesearch.org,pro,llama-2-13b-chat,1683,371,918,0.063492,2024-03-24,success
usage-00365,dmitri@mlops.dev,pro,mistral-7b-instruct,1877,480,267,0.062635,2024-02-23,success
usage-00366,bruno@datascience.co,pro,llama-2-13b-chat,580,429,1519,0.079919,2024-03-08,success
usage-00367,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,693,180,1873,0.036609,2024-02-06,success
usage-00368,dmitri@mlops.dev,pro,mistral-7b-instruct,1979,607,3688,0.065733,2024-03-07,success
usage-00369,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1610,619,3955,0.02183,2024-01-21,error
usage-00370,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1501,562,225,0.0172,2024-03-14,success
usage-00371,alice@techcorp.io,enterprise,mistral-7b-instruct,814,265,3096,0.049609,2024-03-24,success
usage-00372,faisal@llmconsult.ae,pro,mistral-7b-instruct,636,707,3031,0.01449,2024-02-20,success
usage-00373,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1042,490,654,0.056976,2024-01-07,success
usage-00374,bruno@datascience.co,pro,mistral-7b-instruct,1930,114,1464,0.068968,2024-02-09,success
usage-00375,chloe@airesearch.org,pro,all-MiniLM-L6-v2,862,433,173,0.013475,2024-01-20,success
usage-00376,grace@deeplearn.ng,pro,mistral-7b-instruct,342,153,3787,0.01199,2024-01-20,rate_limited
usage-00377,bruno@datascience.co,pro,all-MiniLM-L6-v2,82,547,438,0.074507,2024-01-11,success
usage-00378,bruno@datascience.co,pro,mistral-7b-instruct,383,777,1835,0.01476,2024-02-21,success
usage-00379,bruno@datascience.co,pro,all-MiniLM-L6-v2,222,482,2290,0.059997,2024-03-10,success
usage-00380,eva@nlplab.dk,enterprise,llama-2-13b-chat,690,232,3648,0.031366,2024-01-06,success
usage-00381,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,54,714,1118,0.072549,2024-01-20,success
usage-00382,faisal@llmconsult.ae,pro,mistral-7b-instruct,1710,674,2322,0.073117,2024-01-17,success
usage-00383,bruno@datascience.co,pro,all-MiniLM-L6-v2,1966,786,2364,0.045284,2024-02-02,success
usage-00384,chloe@airesearch.org,pro,all-MiniLM-L6-v2,1875,613,2492,0.042877,2024-01-17,success
usage-00385,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1034,291,2294,0.07374,2024-02-21,success
usage-00386,chloe@airesearch.org,pro,llama-2-13b-chat,1587,760,376,0.039525,2024-02-11,success
usage-00387,eva@nlplab.dk,enterprise,llama-2-13b-chat,1397,700,2213,0.06128,2024-01-22,success
usage-00388,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,786,723,1020,0.000547,2024-02-28,success
usage-00389,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,464,580,1992,0.02761,2024-01-25,success
usage-00390,faisal@llmconsult.ae,pro,llama-2-13b-chat,891,599,854,0.042415,2024-02-12,success
usage-00391,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1459,689,3233,0.048401,2024-03-06,success
usage-00392,dmitri@mlops.dev,pro,mistral-7b-instruct,422,124,927,0.030734,2024-02-22,success
usage-00393,chloe@airesearch.org,pro,llama-2-13b-chat,950,194,465,0.028342,2024-01-08,success
usage-00394,chloe@airesearch.org,pro,mistral-7b-instruct,636,57,1331,0.014951,2024-01-13,success
usage-00395,grace@deeplearn.ng,pro,mistral-7b-instruct,1473,139,2525,0.028424,2024-01-18,success
usage-00396,bruno@datascience.co,pro,llama-2-13b-chat,205,710,1561,0.043218,2024-02-06,success
usage-00397,bruno@datascience.co,pro,mistral-7b-instruct,1331,377,3947,0.045799,2024-03-24,success
usage-00398,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1245,523,1474,0.031926,2024-02-12,success
usage-00399,chloe@airesearch.org,pro,mistral-7b-instruct,1911,238,1944,0.074342,2024-01-15,success
usage-00400,grace@deeplearn.ng,pro,mistral-7b-instruct,1138,509,3523,0.019612,2024-02-03,success
usage-00401,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1830,584,3914,0.015765,2024-01-28,success
usage-00402,eva@nlplab.dk,enterprise,llama-2-13b-chat,691,375,1797,0.01139,2024-02-12,success
usage-00403,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,813,692,2231,0.069535,2024-02-06,success
usage-00404,alice@techcorp.io,enterprise,mistral-7b-instruct,1610,795,3816,0.01935,2024-03-11,success
usage-00405,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1216,653,2396,0.073012,2024-01-10,success
usage-00406,bruno@datascience.co,pro,all-MiniLM-L6-v2,976,335,2949,0.050718,2024-02-25,success
usage-00407,bruno@datascience.co,pro,llama-2-13b-chat,793,429,2182,0.0066,2024-02-04,success
usage-00408,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1034,341,2191,0.026872,2024-03-02,success
usage-00409,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,412,303,1547,0.063659,2024-01-03,error
usage-00410,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1072,177,670,0.0479,2024-03-07,success
usage-00411,faisal@llmconsult.ae,pro,mistral-7b-instruct,1105,367,272,0.011566,2024-02-01,success
usage-00412,grace@deeplearn.ng,pro,llama-2-13b-chat,1759,540,1493,0.069658,2024-03-21,success
usage-00413,faisal@llmconsult.ae,pro,llama-2-13b-chat,315,611,688,0.02729,2024-03-11,success
usage-00414,alice@techcorp.io,enterprise,mistral-7b-instruct,639,117,2824,0.064943,2024-01-27,success
usage-00415,grace@deeplearn.ng,pro,llama-2-13b-chat,990,503,1389,0.027089,2024-01-16,success
usage-00416,chloe@airesearch.org,pro,mistral-7b-instruct,822,797,2398,0.062627,2024-02-01,success
usage-00417,bruno@datascience.co,pro,all-MiniLM-L6-v2,904,781,3183,0.004504,2024-02-10,success
usage-00418,eva@nlplab.dk,enterprise,mistral-7b-instruct,1805,782,2846,0.015052,2024-02-12,success
usage-00419,chloe@airesearch.org,pro,all-MiniLM-L6-v2,1783,305,3590,0.05314,2024-02-26,success
usage-00420,bruno@datascience.co,pro,all-MiniLM-L6-v2,976,277,2691,0.019162,2024-03-18,success
usage-00421,eva@nlplab.dk,enterprise,llama-2-13b-chat,588,720,1129,0.053349,2024-03-03,success
usage-00422,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,172,49,3914,0.013997,2024-03-11,success
usage-00423,faisal@llmconsult.ae,pro,llama-2-13b-chat,524,379,867,0.076442,2024-03-26,success
usage-00424,dmitri@mlops.dev,pro,mistral-7b-instruct,937,620,1830,0.03326,2024-01-05,success
usage-00425,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1775,632,576,0.040248,2024-02-08,success
usage-00426,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,942,306,3860,0.003139,2024-03-09,success
usage-00427,chloe@airesearch.org,pro,mistral-7b-instruct,389,528,1550,0.070063,2024-03-17,success
usage-00428,chloe@airesearch.org,pro,all-MiniLM-L6-v2,720,496,3718,0.04821,2024-03-01,success
usage-00429,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,205,324,3382,0.035782,2024-03-12,success
usage-00430,dmitri@mlops.dev,pro,mistral-7b-instruct,1817,666,3208,0.029294,2024-01-03,success
usage-00431,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,497,163,1826,0.041729,2024-01-20,success
usage-00432,bruno@datascience.co,pro,all-MiniLM-L6-v2,1982,393,1902,0.056871,2024-01-05,success
usage-00433,chloe@airesearch.org,pro,mistral-7b-instruct,1471,210,3855,0.021364,2024-03-07,success
usage-00434,grace@deeplearn.ng,pro,llama-2-13b-chat,849,117,3303,0.006342,2024-01-07,success
usage-00435,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1502,435,3330,0.018552,2024-01-11,success
usage-00436,grace@deeplearn.ng,pro,mistral-7b-instruct,108,516,1795,0.02055,2024-01-11,success
usage-00437,eva@nlplab.dk,enterprise,mistral-7b-instruct,1328,66,1773,0.019719,2024-01-06,rate_limited
usage-00438,alice@techcorp.io,enterprise,mistral-7b-instruct,1269,304,2257,0.03764,2024-03-12,success
usage-00439,faisal@llmconsult.ae,pro,llama-2-13b-chat,1142,496,1993,0.061058,2024-02-08,success
usage-00440,faisal@llmconsult.ae,pro,llama-2-13b-chat,1488,266,1186,0.039276,2024-02-17,success
usage-00441,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,558,348,490,0.002333,2024-01-05,success
usage-00442,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,310,236,1082,0.045939,2024-02-21,success
usage-00443,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1749,44,1651,0.021431,2024-03-13,success
usage-00444,grace@deeplearn.ng,pro,mistral-7b-instruct,765,343,3224,0.079362,2024-03-03,success
usage-00445,bruno@datascience.co,pro,all-MiniLM-L6-v2,1404,356,678,0.000749,2024-02-08,success
usage-00446,chloe@airesearch.org,pro,mistral-7b-instruct,929,243,2056,0.014049,2024-03-18,success
usage-00447,bruno@datascience.co,pro,mistral-7b-instruct,115,784,2558,0.00148,2024-03-17,success
usage-00448,faisal@llmconsult.ae,pro,llama-2-13b-chat,1315,330,2915,0.063719,2024-03-15,success
usage-00449,eva@nlplab.dk,enterprise,mistral-7b-instruct,1639,40,3227,0.053554,2024-02-03,success
usage-00450,faisal@llmconsult.ae,pro,mistral-7b-instruct,1517,508,1028,0.056203,2024-03-03,success
usage-00451,grace@deeplearn.ng,pro,llama-2-13b-chat,846,669,428,0.012757,2024-02-06,success
usage-00452,dmitri@mlops.dev,pro,llama-2-13b-chat,1246,795,832,0.054466,2024-02-26,success
usage-00453,dmitri@mlops.dev,pro,mistral-7b-instruct,1136,539,2456,0.064846,2024-01-25,success
usage-00454,dmitri@mlops.dev,pro,mistral-7b-instruct,909,163,2227,0.031077,2024-03-02,success
usage-00455,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1392,434,1039,0.009042,2024-02-23,success
usage-00456,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1265,224,3554,0.076268,2024-03-09,success
usage-00457,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1932,557,2578,0.068539,2024-02-10,success
usage-00458,faisal@llmconsult.ae,pro,mistral-7b-instruct,1537,553,123,0.078336,2024-01-01,success
usage-00459,faisal@llmconsult.ae,pro,mistral-7b-instruct,957,689,598,0.078774,2024-02-17,success
usage-00460,bruno@datascience.co,pro,llama-2-13b-chat,1416,422,3810,0.042991,2024-01-19,success
usage-00461,alice@techcorp.io,enterprise,mistral-7b-instruct,69,782,2893,0.045917,2024-03-25,success
usage-00462,chloe@airesearch.org,pro,mistral-7b-instruct,619,232,617,0.052891,2024-03-01,success
usage-00463,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,1442,393,327,0.038169,2024-03-20,success
usage-00464,bruno@datascience.co,pro,all-MiniLM-L6-v2,1153,776,2664,0.074733,2024-01-11,success
usage-00465,dmitri@mlops.dev,pro,mistral-7b-instruct,1779,798,2019,0.003794,2024-03-01,success
usage-00466,eva@nlplab.dk,enterprise,llama-2-13b-chat,1213,317,3102,0.049405,2024-03-11,success
usage-00467,eva@nlplab.dk,enterprise,mistral-7b-instruct,214,637,2327,0.054385,2024-03-20,success
usage-00468,eva@nlplab.dk,enterprise,llama-2-13b-chat,1797,597,1181,0.06535,2024-02-28,success
usage-00469,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1440,704,725,0.047717,2024-01-12,success
usage-00470,alice@techcorp.io,enterprise,llama-2-13b-chat,238,165,713,0.033292,2024-02-14,success
usage-00471,chloe@airesearch.org,pro,mistral-7b-instruct,391,157,3530,0.005416,2024-01-13,success
usage-00472,faisal@llmconsult.ae,pro,llama-2-13b-chat,174,245,1075,0.034767,2024-01-11,success
usage-00473,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1587,102,3924,0.029387,2024-01-03,success
usage-00474,chloe@airesearch.org,pro,mistral-7b-instruct,1673,709,1204,0.074247,2024-02-08,success
usage-00475,bruno@datascience.co,pro,mistral-7b-instruct,1050,739,2110,0.058297,2024-02-09,rate_limited
usage-00476,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,672,763,2785,0.018846,2024-02-07,success
usage-00477,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,1899,119,1147,0.033504,2024-01-08,success
usage-00478,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,556,155,1248,0.001525,2024-02-12,success
usage-00479,chloe@airesearch.org,pro,all-MiniLM-L6-v2,174,187,1486,0.021136,2024-03-21,success
usage-00480,alice@techcorp.io,enterprise,mistral-7b-instruct,1907,564,2852,0.031797,2024-03-17,success
usage-00481,dmitri@mlops.dev,pro,llama-2-13b-chat,767,371,2693,0.077744,2024-01-11,success
usage-00482,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1336,359,2915,0.012926,2024-03-28,success
usage-00483,chloe@airesearch.org,pro,all-MiniLM-L6-v2,1614,214,2936,0.073875,2024-01-08,success
usage-00484,alice@techcorp.io,enterprise,mistral-7b-instruct,1600,302,1682,0.042333,2024-03-18,success
usage-00485,faisal@llmconsult.ae,pro,llama-2-13b-chat,1534,265,3777,0.027595,2024-01-01,success
usage-00486,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1744,485,2538,0.040711,2024-02-08,success
usage-00487,chloe@airesearch.org,pro,all-MiniLM-L6-v2,92,617,1132,0.064005,2024-03-13,success
usage-00488,dmitri@mlops.dev,pro,mistral-7b-instruct,1146,50,216,0.072036,2024-03-13,success
usage-00489,chloe@airesearch.org,pro,mistral-7b-instruct,379,283,2124,0.038735,2024-01-02,success
usage-00490,grace@deeplearn.ng,pro,mistral-7b-instruct,54,487,1484,0.034581,2024-02-25,success
usage-00491,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1841,559,425,0.053932,2024-02-21,success
usage-00492,dmitri@mlops.dev,pro,mistral-7b-instruct,644,233,664,0.074459,2024-01-28,rate_limited
usage-00493,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1778,467,1549,0.008786,2024-03-27,success
usage-00494,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,92,50,717,0.038156,2024-01-07,success
usage-00495,chloe@airesearch.org,pro,llama-2-13b-chat,780,300,524,0.038358,2024-03-16,error
usage-00496,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,593,437,3447,0.015802,2024-01-13,success
usage-00497,bruno@datascience.co,pro,llama-2-13b-chat,1995,233,3003,0.054189,2024-01-22,success
usage-00498,bruno@datascience.co,pro,all-MiniLM-L6-v2,1321,129,619,0.030404,2024-01-02,success
usage-00499,bruno@datascience.co,pro,all-MiniLM-L6-v2,1993,634,3011,0.021593,2024-01-10,success
usage-00500,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1747,306,1498,0.047364,2024-03-13,rate_limited
